COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,CBFWAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTEQLOCATION,SMOLTEQLOCPTCODE,OUTMIGRATIONYEAR,CONTACTAGENCY,METHODNUMBER,BESTVALUE,TOTALNATURAL,TOTALNATURALLOWERLIMIT,TOTALNATURALUPPERLIMIT,TOTALNATURALALPHA,AGE0PROP,AGE0PROPLOWERLIMIT,AGE0PROPUPPERLIMIT,AGE1PROP,AGE1PROPLOWERLIMIT,AGE1PROPUPPERLIMIT,AGE2PROP,AGE2PROPLOWERLIMIT,AGE2PROPUPPERLIMIT,AGE3PROP,AGE3PROPLOWERLIMIT,AGE3PROPUPPERLIMIT,AGE4PLUSPROP,AGE4PLUSPROPLOWERLIMIT,AGE4PLUSPROPUPPERLIMIT,AGEPROPALPHA,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,LASTUPDATED,INDICATORLOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,UPDDATE,DATAENTRY,DATAENTRYNOTES,COMPILERRECORDID,PUBLISH,SNLOADDATE,VALIDATIONDATE,LASTMODIFIEDDATE,DOWNLOADDATE,DISPLAYNOTE,HLI_LASTUPDATED,ID
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2013,Idaho Department of Fish and Game,1,Yes,2318,1890,2573,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting (Barnett ran through Gauss on 6/20/17); Values have been corrected after report publication. Contact biologist with any questions.
Values have been corrected after report publication. Contact biologist with any questions. 
Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46908,,IDFG Streamnet,,dc95e995-fba9-4f57-a6ea-a6d57e483081,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,dc95e995-fba9-4f57-a6ea-a6d57e483081
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"American River, RKM = 2",AMERR,2012,Idaho Department of Fish and Game,1,Yes,46628,38448,53081,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting; Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46909,,IDFG Streamnet,,b5a9abd9-d999-4a71-8cd1-1d2c935df2f3,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,b5a9abd9-d999-4a71-8cd1-1d2c935df2f3
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Red River, RKM = 6",REDTRP,2012,Idaho Department of Fish and Game,1,Yes,81549,74259,85734,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting; Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46909,,IDFG Streamnet,,a13ed737-5587-4fe3-adda-1fc67a2dcc58,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,a13ed737-5587-4fe3-adda-1fc67a2dcc58
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2012,Idaho Department of Fish and Game,1,Yes,1944,1671,2302,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting (Barnett ran through Gauss on 6/28/17); Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46909,,IDFG Streamnet,,1ffa8993-b411-4147-a51f-5f94b1727acf,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,1ffa8993-b411-4147-a51f-5f94b1727acf
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Red River, RKM = 6",REDTRP,2011,Idaho Department of Fish and Game,1,Yes,67499,58453,80365,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting; Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46910,,IDFG Streamnet,,1d7e2880-abc4-47d6-9a9e-e69cbfec3407,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,1d7e2880-abc4-47d6-9a9e-e69cbfec3407
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2011,Idaho Department of Fish and Game,1,Yes,3608,3345,3905,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"Corrected From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting (Barnett ran through Gauss on 6/28/17); Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46910,,IDFG Streamnet,,b3ee9f71-6b61-40d8-8b56-03bcbf7626b8,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,b3ee9f71-6b61-40d8-8b56-03bcbf7626b8
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"American River, RKM = 2",AMERR,2011,Idaho Department of Fish and Game,1,Yes,72314,67035,77993,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46910,,IDFG Streamnet,,788ffcaa-c086-46a8-bba0-b393731a031a,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,788ffcaa-c086-46a8-bba0-b393731a031a
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2010,Idaho Department of Fish and Game,1,Yes,4388,3903,4985,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"Corrected From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting (Barnett ran through Gauss on 6/28/17), Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46911,,IDFG Streamnet,,aa5bcc13-759f-4916-9fac-49d54f9a8b05,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:12AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:12AM,aa5bcc13-759f-4916-9fac-49d54f9a8b05
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"American River, RKM = 2",AMERR,2010,Idaho Department of Fish and Game,1,Yes,126475,99962,172993,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,Values have been corrected after report publication. Contact biologist with any questions.,No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46911,,IDFG Streamnet,,abb7d590-bba8-4518-bc2e-93b9cb560b98,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:12AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:12AM,abb7d590-bba8-4518-bc2e-93b9cb560b98
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Red River, RKM = 6",REDTRP,2010,Idaho Department of Fish and Game,1,Yes,93021,84049,104795,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting (Barnett ran through Gauss on 6/28/17), Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46911,,IDFG Streamnet,,34d10e3d-667f-43d9-83ea-4df1ba2527d9,Yes,Jul 31 2018  8:42AM,Feb  7 2019 10:12AM,Feb  7 2019 10:12AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:12AM,34d10e3d-667f-43d9-83ea-4df1ba2527d9
