COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,CBFWAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTLOCATION,SMOLTDEF,SMOLTLOCPTCODE,ADULTLOCATION,SMOLTTOADULTLOCS,SARTYPE,SCOPEOFINFERENCE,OUTMIGRATIONYEAR,TRTMETHOD,CONTACTAGY,CONTACTAGENCY,METHODNUMBER,BESTVALUE,SAR,SARLOWERLIMIT,SARUPPERLIMIT,SARALPHA,RETURNSMISSING,RETURNSMISSINGEXPLANATION,REARINGTYPE,TSO,TSOLOWERLIMIT,TSOUPPERLIMIT,TSOALPHA,TAR,TARLOWERLIMIT,TARUPPERLIMIT,TARALPHA,RETURNDEF,HARVESTADJ,OCEANHARVEST,MAINSTEMHARVEST,TRIBHARVEST,BROODSTOCKREMOVED,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,LASTUPDATED,INDICATORLOCATION,METRICLOCATION,MEASURELOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,UPDDATE,DATAENTRY,DATAENTRYNOTES,COMPILERRECORDID,PUBLISH,SNLOADDATE,VALIDATIONDATE,LASTMODIFIEDDATE,DOWNLOADDATE,DISPLAYNOTE,HLI_LASTUPDATED,ID
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Excluding jacks,,2014,No,FPC,Fish Passage Center,1,Yes,0.67,0.44,0.93,0.1,,,Natural,3423,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2014 w/o jacks,Yes,Dec 24 2018 11:18AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,D8594733-88EC-4836-BA25-DD4E4D9013A7
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Including jacks,,2014,No,FPC,Fish Passage Center,1,Yes,0.85,0.6,1.15,0.1,,,Natural,3423,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2014 w/ jacks,Yes,Dec 24 2018 11:11AM,Dec 24 2018 11:12AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,C4495A51-0F8A-4A6C-8D32-465C95CE9B23
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Including jacks,,2013,No,FPC,Fish Passage Center,1,Yes,2.75,1.95,3.67,0.1,,,Natural,1454,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2013 w/ jacks,Yes,Dec 24 2018 11:11AM,Dec 24 2018 11:12AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,D88A5325-3B54-49BA-ACDA-4CB7BC70B7F0
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Excluding jacks,,2013,No,FPC,Fish Passage Center,1,Yes,2.41,1.68,3.27,0.1,,,Natural,1454,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2013 w/o jacks,Yes,Dec 24 2018 11:18AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,EE4301FA-DEAE-4612-8C3A-38F2773FF526
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Including jacks,,2012,No,FPC,Fish Passage Center,1,Yes,1.87,1.22,2.57,0.1,,,Natural,1335,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2012 w/ jacks,Yes,Dec 24 2018 11:11AM,Dec 24 2018 11:12AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,01285D96-C862-40BB-92F8-9EEAD700D350
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Excluding jacks,,2012,No,FPC,Fish Passage Center,1,Yes,1.8,1.17,2.47,0.1,,,Natural,1335,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2012 w/o jacks,Yes,Dec 24 2018 11:18AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,28D8A1A6-F9CA-402D-A6B9-84E3F3620425
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Including jacks,,2011,No,FPC,Fish Passage Center,1,Yes,3.46,2.88,4.12,0.1,,,Natural,4050,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2011 w/ jacks,Yes,Dec 24 2018 11:11AM,Dec 24 2018 11:12AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,5C223759-3992-4094-A216-768972668DC6
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Excluding jacks,,2011,No,FPC,Fish Passage Center,1,Yes,3.21,2.65,3.84,0.1,,,Natural,4050,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2011 w/o jacks,Yes,Dec 24 2018 11:18AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,99A6E182-9388-497C-BE13-BFB71EAC52E3
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Excluding jacks,,2010,No,FPC,Fish Passage Center,1,Yes,2.61,1.88,3.4,0.1,,,Natural,1418,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2010 w/o jacks,Yes,Dec 24 2018 11:18AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,65E9B48C-F137-496B-9FD5-EFE6D78A1BD5
Chinook salmon,Fall,Interior Columbia,,,515,,Hanford reach  {non-TRT Population},Hanford reach fall Chinook salmon,,,,Same,,McNary Dam,Smolts outmigrating past a point,MCN,Bonneville Dam,From McNary Dam to Bonneville Dam,Including jacks,,2010,No,FPC,Fish Passage Center,1,Yes,2.96,2.15,3.88,0.1,,,Natural,1418,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,515 MCN_to_BOA 2010 w/ jacks,Yes,Dec 24 2018 11:11AM,Dec 24 2018 11:12AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,5313FDC1-7E72-4BE2-B907-5B497112B233
